v1,v2,v3,experiment
18.04,46.9,12.6,1
17.64,48.7,12.7,1
18.14,50.3,13.3,1
18.14,51.8,14.1,1
17.74,48.7,12.5,1
17.74,48.4,13.4,1
18.04,48.4,12.7,1
17.94,48.2,12.7,1
19.34,48.6,12.8,1
17.94,47.2,12.8,1
17.94,47.0,13.0,1
17.74,47.9,13.1,1
17.94,46.1,13.0,1
17.94,48.8,13.4,1
17.54,48.2,13.5,1
17.64,48.2,13.2,1
17.54,46.5,13.2,1
17.64,48.2,12.5,1
17.24,47.1,12.7,1
18.04,46.8,12.8,1
17.94,46.8,12.9,1
17.74,47.2,12.8,1
17.74,46.6,13.2,1
17.94,46.8,13.0,1
17.94,45.4,12.8,1
18.24,46.1,13.3,1
18.34,47.5,13.2,1
16.74,51.3,13.2,1
17.04,51.7,12.8,1
16.84,51.0,14.2,1
17.24,50.5,12.7,1
17.14,50.4,12.7,1
17.74,51.0,12.7,1
17.24,50.6,12.5,1
17.64,50.5,12.7,1
17.74,49.7,12.7,1
17.24,51.4,12.4,1
18.14,51.5,12.4,1
17.04,50.5,12.5,1
18.34,52.1,12.7,1
16.44,53.2,15.9,1
17.34,51.6,12.6,1
17.94,49.6,12.6,1
17.54,50.4,12.7,1
16.54,51.2,12.9,1
17.54,51.2,12.3,1
17.34,51.9,13.4,1
16.74,51.9,12.9,1
16.94,51.9,12.9,1
16.54,52.2,12.6,1
17.34,52.4,12.5,1
16.84,51.7,13.2,1
18.14,51.6,12.2,1
17.04,50.1,12.1,1
17.24,51.7,13.0,1
17.54,52.0,12.7,1
18.04,53.1,12.3,1
17.64,50.0,12.2,1
17.54,51.6,13.2,1
16.94,51.6,12.6,1
17.14,51.2,12.1,1
17.74,50.7,12.3,1
17.54,52.8,12.4,1
17.64,51.1,12.7,1
18.14,51.6,12.1,1
17.44,51.0,12.2,1
17.04,51.6,12.7,1
18.14,51.2,12.2,1
18.04,50.5,12.0,1
17.84,50.6,12.3,1
17.44,52.0,12.8,1
17.14,50.7,12.5,1
17.84,52.1,12.4,1
17.24,52.0,12.8,1
17.04,52.7,13.3,1
18.24,51.8,12.3,1
17.14,52.2,12.4,1
17.54,50.7,13.1,1
17.74,51.0,12.4,1
17.74,50.4,12.4,1
17.24,50.9,12.2,1
16.44,54.9,13.8,1
17.54,49.7,12.6,1
17.54,48.9,12.4,1
17.94,48.2,12.4,1
17.64,49.3,12.4,1
17.54,50.3,12.7,1
17.24,49.5,12.5,1
17.44,49.3,12.5,1
17.64,48.8,12.9,1
17.34,48.9,12.5,1
18.34,49.9,12.4,1
17.04,49.1,12.8,1
17.14,49.4,12.7,1
17.34,48.6,13.1,1
17.84,49.5,12.2,1
18.24,50.6,12.8,1
17.64,48.2,12.4,1
17.54,48.2,12.8,1
17.94,48.7,12.5,1
17.74,49.4,13.2,1
16.24,50.9,14.0,1
17.04,49.1,12.5,1
17.74,48.5,12.4,1
17.94,48.7,12.2,1
18.24,48.7,12.6,1
18.04,49.1,12.5,1
17.64,47.9,12.3,1
15.74,51.8,13.5,1
17.24,51.0,12.4,1
17.34,50.2,12.4,1
17.44,50.1,12.5,1
16.94,51.7,12.4,1
17.34,50.9,12.8,1
17.04,50.3,12.7,1
17.64,50.4,12.2,1
17.54,51.6,12.8,1
17.14,52.9,15.1,1
16.84,49.7,13.0,1
16.34,49.7,12.7,1
17.64,50.2,12.8,1
17.74,49.3,12.4,1
16.64,54.8,13.1,1
17.44,49.8,12.7,1
17.14,52.1,12.5,1
17.64,51.7,12.9,1
17.54,53.3,12.5,1
18.24,51.5,12.8,1
17.24,51.3,12.7,1
17.24,50.4,13.0,1
17.44,50.0,12.2,1
16.94,52.8,13.6,1
17.64,51.3,12.4,1
17.84,49.5,12.5,1
17.84,51.1,12.3,1
17.94,50.6,12.5,1
17.64,51.8,12.6,1
17.54,49.7,12.3,1
17.24,50.0,12.3,1
17.74,50.9,13.1,1
16.74,53.3,12.8,1
17.84,50.1,12.5,1
16.74,51.0,13.8,1
17.84,49.0,12.1,1
17.04,52.1,13.2,1
17.94,51.3,12.6,1
17.34,51.6,13.1,1
16.84,50.4,12.8,1
17.84,48.8,12.3,1
17.84,50.3,13.2,1
17.74,48.1,12.4,1
17.84,51.9,13.2,1
17.64,49.5,12.6,1
18.04,50.6,12.3,1
17.34,53.3,14.6,1
17.04,51.6,14.0,1
17.84,49.7,12.4,1
17.94,50.6,12.8,1
17.94,49.2,12.6,1
18.04,49.6,12.5,1
17.74,49.7,12.5,1
17.44,49.9,12.6,1
17.34,50.3,12.7,1
17.94,48.5,13.3,1
17.74,48.8,13.2,1
18.74,47.4,12.7,1
18.54,47.5,12.8,1
18.84,48.0,12.8,1
17.54,49.1,13.3,1
17.34,49.0,13.3,1
17.84,49.2,13.1,1
17.74,50.1,12.9,1
17.34,49.6,13.1,1
17.84,49.8,13.4,1
17.44,50.1,13.3,1
17.84,48.5,12.6,1
17.54,49.1,12.7,1
18.04,48.4,12.6,1
17.84,49.4,12.8,1
18.14,48.1,12.6,1
18.54,49.1,12.9,1
18.14,48.9,12.4,1
17.94,47.9,13.1,1
18.14,47.8,12.4,1
18.04,48.5,12.8,1
17.84,47.5,12.6,1
18.84,46.4,12.6,1
18.44,48.1,13.2,1
18.04,47.0,13.3,1
19.54,49.9,12.3,1
18.34,47.6,13.5,1
17.64,47.7,13.2,1
18.84,50.9,12.4,1
17.54,48.4,13.0,1
17.94,48.9,12.9,1
17.54,48.6,12.8,1
17.94,48.1,12.7,1
18.44,47.6,12.4,1
18.54,49.5,12.9,1
17.74,48.2,13.3,1
17.44,48.1,12.9,1
17.84,47.5,12.6,1
17.54,46.8,12.7,1
18.04,48.4,12.8,1
17.24,47.4,13.0,1
17.04,48.2,13.0,1
17.34,49.2,13.7,1
17.94,48.6,12.8,1
17.04,47.3,12.8,1
17.74,47.5,12.7,1
17.74,46.8,12.6,1
18.14,46.8,12.6,1
18.24,46.8,12.4,1
17.74,48.3,13.3,1
17.84,48.3,12.7,1
17.64,46.7,12.8,1
17.64,47.3,13.6,1
17.74,46.6,13.0,1
18.34,47.4,12.8,1
18.04,47.0,12.8,1
17.44,47.0,12.6,1
17.84,48.6,13.8,1
18.24,47.8,13.0,1
17.74,47.7,12.6,1
17.54,48.2,12.6,1
18.34,49.2,12.8,1
17.64,49.3,13.6,1
17.94,48.4,12.8,1
17.44,48.7,13.8,1
17.64,46.3,12.8,1
18.14,48.2,12.5,1
17.64,47.1,12.5,1
18.24,47.7,12.4,1
17.34,50.2,12.8,1
17.24,50.2,13.1,1
18.14,50.6,12.3,1
17.84,49.8,12.1,1
17.24,51.1,12.4,1
16.84,50.2,12.6,1
16.54,51.3,13.1,1
17.14,49.6,12.0,1
17.54,51.2,12.2,1
17.24,50.3,12.2,1
17.44,49.9,12.5,1
17.94,49.4,12.6,1
17.04,51.1,12.6,1
17.84,50.2,12.6,1
18.24,49.9,12.3,1
17.34,50.1,12.3,1
16.84,51.0,12.6,1
16.94,50.2,13.0,1
17.94,49.4,12.5,1
17.44,49.4,12.8,1
16.64,49.5,12.9,1
17.14,50.6,12.9,1
18.34,50.8,12.6,1
16.94,48.8,13.2,1
17.64,47.6,13.0,1
18.24,50.6,12.5,1
17.04,50.0,12.7,1
17.64,49.1,12.8,1
17.14,49.0,13.0,1
17.14,51.6,12.2,1
17.04,51.0,12.4,1
17.44,50.7,12.3,1
17.24,51.9,12.9,1
16.94,50.5,12.5,1
17.24,50.8,14.0,1
17.04,51.0,13.5,1
17.34,51.4,13.7,1
17.14,51.0,12.6,1
16.74,50.6,12.6,1
15.94,50.7,17.6,2
15.24,48.3,16.8,2
15.54,49.3,16.9,2
15.44,46.0,16.8,2
15.14,47.8,17.7,2
16.44,48.5,17.8,2
14.74,46.5,19.2,2
14.94,48.5,18.8,2
14.94,46.3,17.5,2
15.14,45.9,17.3,2
14.44,46.0,18.6,2
14.34,46.7,19.4,2
15.14,48.4,17.5,2
15.04,45.8,17.3,2
17.84,47.1,13.1,3
19.04,48.5,12.5,3
17.44,46.7,13.0,3
17.64,46.8,12.9,3
18.64,47.2,12.8,3
17.74,47.8,12.9,3
17.84,46.9,12.5,3
17.64,48.2,13.5,3
17.94,46.9,13.5,3
18.34,46.6,12.9,3
18.34,46.0,12.6,3
17.64,46.9,13.0,3
18.04,47.4,12.7,3
