v1,v2,v3,experiment
50.9,48.3,12.8,1
52.9,48.9,12.6,1
49.9,47.7,12.5,1
55.2,51.8,12.4,1
57.9,52.0,12.4,1
56.8,52.1,12.3,1
54.3,51.3,12.5,1
54.9,50.8,12.3,1
52.3,49.9,12.8,1
51.7,50.7,13.0,1
51.5,51.1,12.8,1
56.0,50.8,12.4,1
55.0,52.5,12.7,1
53.4,49.5,12.6,1
56.6,51.9,12.3,1
56.6,51.6,12.1,1
54.7,52.6,14.2,1
57.4,51.6,12.5,1
59.7,52.1,12.9,1
54.2,51.5,12.4,1
56.7,51.0,12.5,1
55.2,52.6,13.6,1
57.8,51.1,12.5,1
56.9,50.3,12.6,1
57.2,50.6,12.5,1
54.9,50.2,12.4,1
53.5,49.8,12.7,1
58.5,51.8,12.3,1
58.1,50.5,12.6,1
54.8,50.1,12.8,1
53.1,49.0,12.9,1
50.2,48.7,12.8,1
58.3,50.5,12.7,1
52.2,46.4,12.7,1
52.5,47.3,13.0,1
51.0,47.5,12.9,1
49.3,48.0,13.2,1
53.3,47.2,12.8,1
52.2,46.8,12.7,1
51.7,49.8,12.9,1
54.9,49.5,12.8,1
52.3,47.8,13.1,1
50.3,47.8,12.7,1
50.9,49.3,13.6,1
50.4,47.1,12.3,1
51.3,46.7,12.6,1
51.2,46.6,12.9,1
51.1,47.9,12.7,1
51.9,47.5,12.7,1
53.4,48.9,12.8,1
51.7,48.6,12.4,1
53.3,48.1,12.4,1
52.6,46.9,12.6,1
52.8,48.7,12.7,1
56.1,50.3,13.3,1
56.3,51.8,14.1,1
51.9,48.7,12.5,1
51.2,48.4,13.4,1
52.5,48.4,12.7,1
52.2,48.2,12.7,1
58.2,48.6,12.8,1
51.9,47.2,12.8,1
51.9,47.0,13.0,1
51.5,47.9,13.1,1
52.0,46.1,13.0,1
53.2,48.8,13.4,1
51.0,48.2,13.5,1
51.1,48.2,13.2,1
49.7,46.5,13.2,1
50.5,48.2,12.5,1
48.8,47.1,12.7,1
52.2,46.8,12.8,1
50.6,46.8,12.9,1
50.6,47.2,12.8,1
50.4,46.6,13.2,1
51.4,46.8,13.0,1
50.9,45.4,12.8,1
51.7,46.1,13.3,1
53.7,47.5,13.2,1
53.2,51.3,13.2,1
52.6,51.7,12.8,1
52.9,51.0,14.2,1
53.8,50.5,12.7,1
53.3,50.4,12.7,1
56.1,51.0,12.7,1
55.0,50.6,12.5,1
55.9,50.5,12.7,1
55.0,49.7,12.7,1
53.7,51.4,12.4,1
59.2,51.5,12.4,1
53.0,50.5,12.5,1
59.1,52.1,12.7,1
52.2,53.2,15.9,1
54.9,51.6,12.6,1
57.2,49.6,12.6,1
56.0,50.4,12.7,1
50.9,51.2,12.9,1
54.1,51.2,12.3,1
55.9,51.9,13.4,1
53.0,51.9,12.9,1
53.5,51.9,12.9,1
52.3,52.2,12.6,1
55.9,52.4,12.5,1
53.9,51.7,13.2,1
58.0,51.6,12.2,1
53.7,50.1,12.1,1
55.2,51.7,13.0,1
55.3,52.0,12.7,1
59.9,53.1,12.3,1
55.3,50.0,12.2,1
55.3,51.6,13.2,1
53.2,51.6,12.6,1
54.9,51.2,12.1,1
57.4,50.7,12.3,1
56.2,52.8,12.4,1
54.7,51.1,12.7,1
57.7,51.6,12.1,1
55.5,51.0,12.2,1
54.2,51.6,12.7,1
59.7,51.2,12.2,1
58.0,50.5,12.0,1
56.9,50.6,12.3,1
54.9,52.0,12.8,1
53.7,50.7,12.5,1
56.9,52.1,12.4,1
55.0,52.0,12.8,1
54.1,52.7,13.3,1
57.4,51.8,12.3,1
53.9,52.2,12.4,1
56.5,50.7,13.1,1
56.5,51.0,12.4,1
56.4,50.4,12.4,1
55.3,50.9,12.2,1
54.2,54.9,13.8,1
53.6,49.7,12.6,1
53.5,48.9,12.4,1
53.3,48.2,12.4,1
53.3,49.3,12.4,1
53.4,50.3,12.7,1
52.4,49.5,12.5,1
51.3,49.3,12.5,1
51.9,48.8,12.9,1
51.0,48.9,12.5,1
56.6,49.9,12.4,1
50.8,49.1,12.8,1
51.1,49.4,12.7,1
50.8,48.6,13.1,1
53.2,49.5,12.2,1
55.9,50.6,12.8,1
51.9,48.2,12.4,1
51.6,48.2,12.8,1
53.0,48.7,12.5,1
52.0,49.4,13.2,1
47.2,50.9,14.0,1
49.1,49.1,12.5,1
52.9,48.5,12.4,1
52.4,48.7,12.2,1
52.8,48.7,12.6,1
51.7,49.1,12.5,1
51.4,47.9,12.3,1
46.8,51.8,13.5,1
52.8,51.0,12.4,1
52.9,50.2,12.4,1
53.2,50.1,12.5,1
51.7,51.7,12.4,1
53.5,50.9,12.8,1
51.5,50.3,12.7,1
54.5,50.4,12.2,1
54.9,51.6,12.8,1
52.6,52.9,15.1,1
50.9,49.7,13.0,1
51.2,49.7,12.7,1
54.2,50.2,12.8,1
53.7,49.3,12.4,1
50.7,54.8,13.1,1
53.2,49.8,12.7,1
52.3,52.1,12.5,1
53.8,51.7,12.9,1
53.9,53.3,12.5,1
58.0,51.5,12.8,1
53.8,51.3,12.7,1
51.8,50.4,13.0,1
52.1,50.0,12.2,1
52.5,52.8,13.6,1
52.2,51.3,12.4,1
53.8,49.5,12.5,1
53.7,51.1,12.3,1
54.3,50.6,12.5,1
55.0,51.8,12.6,1
52.1,49.7,12.3,1
51.8,50.0,12.3,1
53.9,50.9,13.1,1
49.3,53.3,12.8,1
54.4,50.1,12.5,1
50.0,51.0,13.8,1
53.3,49.0,12.1,1
53.2,52.1,13.2,1
56.4,51.3,12.6,1
54.6,51.6,13.1,1
50.9,50.4,12.8,1
53.1,48.8,12.3,1
54.6,50.3,13.2,1
52.7,48.1,12.4,1
56.0,51.9,13.2,1
53.1,49.5,12.6,1
55.4,50.6,12.3,1
52.7,53.3,14.6,1
50.2,51.6,14.0,1
52.9,49.7,12.4,1
54.3,50.6,12.8,1
54.0,49.2,12.6,1
54.4,49.6,12.5,1
54.2,49.7,12.5,1
52.5,49.9,12.6,1
51.7,50.3,12.7,1
52.5,48.5,13.3,1
52.4,48.8,13.2,1
54.7,47.4,12.7,1
54.6,47.5,12.8,1
56.0,48.0,12.8,1
51.7,49.1,13.3,1
51.3,49.0,13.3,1
52.3,49.2,13.1,1
53.0,50.1,12.9,1
52.2,49.6,13.1,1
54.2,49.8,13.4,1
52.4,50.1,13.3,1
53.5,48.5,12.6,1
53.1,49.1,12.7,1
54.2,48.4,12.6,1
54.8,49.4,12.8,1
52.7,48.1,12.6,1
56.1,49.1,12.9,1
52.9,48.9,12.4,1
52.3,47.9,13.1,1
51.3,47.8,12.4,1
51.3,48.5,12.8,1
51.0,47.5,12.6,1
54.7,46.4,12.6,1
54.3,48.1,13.2,1
52.2,47.0,13.3,1
59.7,49.9,12.3,1
53.4,47.6,13.5,1
51.5,47.7,13.2,1
58.0,50.9,12.4,1
51.0,48.4,13.0,1
53.2,48.9,12.9,1
51.3,48.6,12.8,1
52.7,48.1,12.7,1
53.9,47.6,12.4,1
55.7,49.5,12.9,1
51.1,48.2,13.3,1
50.4,48.1,12.9,1
52.6,47.5,12.6,1
51.1,46.8,12.7,1
53.9,48.4,12.8,1
50.6,47.4,13.0,1
48.5,48.2,13.0,1
50.8,49.2,13.7,1
52.4,48.6,12.8,1
48.3,47.3,12.8,1
51.4,47.5,12.7,1
51.5,46.8,12.6,1
51.4,46.8,12.6,1
52.0,46.8,12.4,1
49.5,48.3,13.3,1
52.4,48.3,12.7,1
50.1,46.7,12.8,1
50.4,47.3,13.6,1
50.3,46.6,13.0,1
53.4,47.4,12.8,1
52.4,47.0,12.8,1
50.2,47.0,12.6,1
52.9,48.6,13.8,1
53.3,47.8,13.0,1
51.4,47.7,12.6,1
51.5,48.2,12.6,1
54.5,49.2,12.8,1
52.0,49.3,13.6,1
52.0,48.4,12.8,1
51.0,48.7,13.8,1
50.1,46.3,12.8,1
52.2,48.2,12.5,1
50.8,47.1,12.5,1
54.0,47.7,12.4,1
54.1,50.2,12.8,1
53.1,50.2,13.1,1
56.6,50.6,12.3,1
55.2,49.8,12.1,1
53.9,51.1,12.4,1
51.2,50.2,12.6,1
51.8,51.3,13.1,1
53.4,49.6,12.0,1
54.5,51.2,12.2,1
53.5,50.3,12.2,1
53.4,49.9,12.5,1
55.5,49.4,12.6,1
53.6,51.1,12.6,1
54.4,50.2,12.6,1
57.3,49.9,12.3,1
54.0,50.1,12.3,1
52.4,51.0,12.6,1
51.5,50.2,13.0,1
55.0,49.4,12.5,1
53.7,49.4,12.8,1
50.3,49.5,12.9,1
51.3,50.6,12.9,1
57.2,50.8,12.6,1
50.0,48.8,13.2,1
52.8,47.6,13.0,1
57.7,50.6,12.5,1
51.8,50.0,12.7,1
53.7,49.1,12.8,1
50.5,49.0,13.0,1
53.4,51.6,12.2,1
52.5,51.0,12.4,1
53.5,50.7,12.3,1
52.5,51.9,12.9,1
51.3,50.5,12.5,1
52.3,50.8,14.0,1
53.0,51.0,13.5,1
53.6,51.4,13.7,1
52.4,51.0,12.6,1
51.0,50.6,12.6,1
51.4,50.7,,2
48.8,48.3,,2
51.4,49.3,,2
49.0,46.0,,2
48.2,47.8,,2
52.4,48.5,,2
47.0,46.5,,2
48.0,48.5,,2
46.8,46.3,,2
48.4,45.9,,2
46.0,46.0,,2
45.4,46.7,,2
48.7,48.4,,2
47.2,45.8,,2
52.3,47.1,13.1,3
56.6,48.5,12.5,3
49.0,46.7,13.0,3
49.5,46.8,12.9,3
53.1,47.2,12.8,3
51.2,47.8,12.9,3
51.3,46.9,12.5,3
50.3,48.2,13.5,3
51.9,46.9,13.5,3
52.6,46.6,12.9,3
51.9,46.0,12.6,3
49.7,46.9,13.0,3
50.9,47.4,12.7,3
