"id","cen","strain.id","sex","geno","zyg","litter","IMPC_HEM_001_001","IMPC_HEM_002_001","IMPC_HEM_003_001","IMPC_HEM_004_001","IMPC_HEM_005_001","IMPC_HEM_006_001","IMPC_HEM_007_001","IMPC_HEM_008_001","IMPC_HEM_019_001","IMPC_HEM_027_001","IMPC_HEM_029_001","IMPC_HEM_030_001","IMPC_HEM_031_001","IMPC_HEM_032_001","IMPC_HEM_033_001","IMPC_HEM_034_001","IMPC_HEM_035_001","IMPC_HEM_036_001","IMPC_HEM_037_001","IMPC_HEM_038_001","IMPC_HEM_039_001","IMPC_HEM_040_001"
"28702521","10","35","1","0","1","82020",7.57,11.73,18.74,56.2,47.9,15.393,33.74,1492,6.8,12.6,10.1,0.8807,82.6,6.25,1.1,0.08,4.457,0.32,0.0596,0.7487,0.0928,1.232
"28702519","10","35","0","0","1","82020",7.48,11.18,18.14,54.1,48.4,15.593,33.84,1155,7.1,12.7,9.8,0.8507,83.8,6.27,1,0.08,3.957,0.27,0.0696,0.8487,0.0628,0.932
"28702529","10","35","1","0","1","82021",7.64,11.44,18.54,56.2,49.1,15.593,33.44,1118,7,12.5,14.2,1.1907,76.4,5.84,1.4,0.11,6.857,0.5,0.0396,0.4487,0.0828,1.032
"28702531","10","35","1","0","1","82021",8.95,11.47,18.14,54.2,47.2,15.193,33.84,1872,6.9,12.6,11.4,1.1307,82.5,7.38,1.1,0.1,3.457,0.29,0.0496,0.5487,0.1228,1.432
"28702546","10","35","0","0","1","82618",6.96,10.63,17.34,52.3,49.3,15.493,33.24,1104,6.9,13.2,12.1,0.9507,83.6,5.82,0.6,0.04,2.757,0.17,0.0296,0.3487,0.0628,0.932
"28702548","10","35","0","0","1","82618",6.1,10.99,18.24,53.4,48.6,15.893,34.34,1361,6.9,12.7,13.2,0.9207,82.8,5.05,0.7,0.04,2.057,0.11,0.0396,0.5487,0.0628,1.032
"28702550","10","35","1","0","1","82618",7.5,10.87,17.74,52.6,48.3,15.593,33.84,1625,6.9,13.3,13.1,1.0907,81.6,6.12,0.7,0.05,3.757,0.26,0.0396,0.4487,0.0628,0.832
"28702552","10","35","1","0","1","82618",6.82,11.21,18.14,54.3,48.4,15.493,33.74,1553,6.8,12.9,12.1,0.9407,81.7,5.57,0.7,0.05,4.657,0.3,0.0396,0.4487,0.0528,0.732
"28702558","10","35","1","0","1","82619",8.65,11.47,18.14,55.3,48.2,15.193,33.14,1318,6.9,12.8,12.8,1.2207,79.4,6.87,1.5,0.13,4.557,0.38,0.0596,0.6487,0.1228,1.332
"28702577","10","35","0","0","1","83186",6.78,11.2,18.74,55.7,49.8,16.093,34.04,1161,6.5,12.9,14.5,1.1007,80.5,5.46,0.7,0.04,2.257,0.14,0.0496,0.5487,0.1228,1.732
"28702579","10","35","0","0","1","83186",6.38,10.69,17.94,52.4,49,16.093,34.54,1109,6.4,12.7,12.5,0.9007,82.3,5.24,0.6,0.04,2.657,0.15,0.0496,0.6487,0.1128,1.632
"28702583","10","35","1","0","1","83186",7.57,11.29,18.24,56.2,49.8,15.493,32.84,1376,6.4,12.8,13.1,1.1007,80.5,6.1,0.7,0.05,3.357,0.24,0.0396,0.4487,0.1528,2.032
"28702581","10","35","0","0","1","83186",7.94,10.81,17.74,53.7,49.6,15.693,33.34,1307,6.5,13,12.2,1.0807,81.2,6.45,0.7,0.05,3.257,0.23,0.0796,0.8487,0.1728,2.132
"28702585","10","35","1","0","1","83186",7.84,11.07,17.84,54.6,49.4,15.493,33.04,1629,6.3,12.5,12.7,1.1107,78.7,6.17,0.6,0.05,5.657,0.42,0.0396,0.4487,0.1828,2.332
"28702587","10","35","1","0","1","83186",9.8,11.19,18.24,54.4,48.7,15.593,33.84,1694,6.3,12.8,12,1.2907,81.2,7.96,0.7,0.07,3.657,0.33,0.0596,0.5487,0.2128,2.232
"42014890","10","35","0","0","1","83699",7.99,10.76,17.94,51.6,48,15.993,34.94,1246,6.1,12.7,12.3,1.0907,81.8,6.54,1.7,0.13,3.257,0.24,0.0596,0.6487,0.0428,0.532
"42014894","10","35","1","0","1","83699",6.29,11.26,18.54,53.9,47.9,15.793,34.74,1160,5.9,13,8.7,0.6607,81.6,5.14,1.1,0.07,7.757,0.48,0.0396,0.5487,0.0328,0.532
"42052863","10","35","0","0","1","85779",7,10.84,18.14,52.8,48.8,15.993,34.54,1122,6.1,12.7,12.7,1.0007,80.1,5.6,1,0.07,5.557,0.37,0.0396,0.4487,0.0328,0.532
"42052865","10","35","0","0","1","85779",4.55,10.74,17.94,53.3,49.6,15.893,33.84,1176,6.2,12.5,10.1,0.5707,81.3,3.7,1.1,0.05,6.857,0.3,0.0196,0.3487,0.0228,0.532
"42052871","10","35","1","0","1","85779",7.83,12,19.14,60.1,50.1,15.393,32.44,1217,6.2,12.5,8.9,0.8107,83.8,6.56,1.4,0.11,5.057,0.38,0.0396,0.4487,0.0628,0.732
"42052869","10","35","0","0","1","85779",7.27,10.04,17.24,50.7,50.4,16.293,34.14,791,6.4,14.9,13.5,1.0907,78.9,5.74,2,0.14,4.157,0.28,0.0596,0.7487,0.0828,1.032
"42052873","10","35","1","0","1","85779",8.64,11.5,18.54,55.5,48.3,15.493,33.84,1176,6.1,12.5,10.9,1.0507,83.3,7.2,1.4,0.12,3.457,0.28,0.0496,0.5487,0.0628,0.732
"42052875","10","35","1","0","1","85779",8.03,11.49,18.74,56,48.7,15.693,33.94,1334,6.2,12.6,11.2,1.0107,83.5,6.7,1.2,0.1,2.757,0.2,0.0596,0.6487,0.0828,1.032
"42052894","10","35","0","0","1","86220",6.31,10.86,18.14,51.7,47.5,15.893,35.24,1148,6.4,12.6,9,0.6807,86.5,5.46,1.4,0.09,2.257,0.12,0.0396,0.5487,0.0428,0.732
"42052896","10","35","0","0","1","86220",4.77,11.03,18.44,53.9,48.9,15.993,34.44,1088,6.3,13.4,11.4,0.6607,81,3.87,1.1,0.05,5.857,0.27,0.0296,0.5487,0.0228,0.432
"42052900","10","35","1","0","1","86220",9.73,11.06,18.34,53,48,15.893,34.94,1436,6.3,12.8,12.4,1.3107,81,7.88,1.5,0.15,4.257,0.39,0.0596,0.6487,0.0628,0.632
"42052898","10","35","0","0","1","86220",8.01,10.64,17.54,50.8,47.7,15.793,34.64,1157,6.4,13,11.5,1.0307,82.8,6.63,1.6,0.13,3.157,0.23,0.0496,0.5487,0.0628,0.732
"42052902","10","35","1","0","1","86220",7.99,11.11,18.04,52.1,46.9,15.593,34.94,1348,6.2,12.7,13.9,1.2207,80.6,6.44,1.5,0.12,3.357,0.25,0.0396,0.4487,0.0428,0.532
"42052904","10","35","1","0","1","86220",7.61,11.18,18.34,54.5,48.7,15.693,33.94,1226,6.4,12.8,10.5,0.9107,83.3,6.34,1.3,0.1,3.957,0.28,0.0596,0.6487,0.0528,0.632
"42052925","10","35","0","0","1","86672",8.27,10.78,17.54,52.2,48.5,15.593,33.84,1118,6.2,13,9.7,0.9107,85,7.03,1.3,0.11,3.157,0.24,0.0496,0.5487,0.0528,0.632
"42052927","10","35","0","0","1","86672",8.04,10.9,18.04,52.3,48,15.793,34.74,1083,6.3,13.1,9.7,0.8907,85.8,6.9,0.8,0.06,2.657,0.19,0.0696,0.8487,0.0528,0.632
"42052931","10","35","1","0","1","86672",8,10.96,17.94,51.9,47.3,15.693,34.74,1393,6.1,13.4,11.7,1.0507,82.5,6.6,1.3,0.11,3.657,0.28,0.0496,0.4487,0.0528,0.632
"42052929","10","35","0","0","1","86672",6.1,10.77,17.84,51,47.3,15.893,35.14,1066,6.3,13.2,10,0.7207,85.1,5.19,1,0.06,2.857,0.16,0.0496,0.7487,0.0428,0.632
"42052933","10","35","1","0","1","86672",8.3,11.57,18.74,54.3,47,15.593,34.84,1892,5.9,12.3,9.6,0.9107,85.7,7.11,0.9,0.07,3.057,0.24,0.0396,0.4487,0.0528,0.632
"42052935","10","35","1","0","1","86672",6.17,11.03,18.04,51.2,46.4,15.593,35.34,1300,5.4,13,16.9,1.1507,75.8,4.67,1.2,0.07,5.557,0.33,0.0296,0.4487,0.0328,0.532
"28702088","10","35","1","1797_1","1","86974",8.43,11.43,18.44,55.9,48.9,15.493,33.44,1243,6.6,13,12,1.1207,79.9,6.73,2.2,0.18,4.957,0.4,0.0496,0.5487,0.0628,0.732
"28702092","10","35","1","0","1","86975",7.15,11.71,19.04,57.2,48.8,15.693,33.74,1044,7,12.7,12.3,0.9907,74.8,5.35,2,0.15,9.757,0.68,0.0696,0.9487,0.0328,0.432
"28702100","10","35","1","0","1","86976",8.9,11.51,18.84,59.6,51.8,15.693,32.14,1310,7.1,13,7.4,0.7707,86.5,7.7,1.5,0.13,3.557,0.29,0.0596,0.5487,0.0728,0.832
"28702094","10","35","1","1797_1","1","86975",8.51,11.13,18.64,57.9,52,16.093,32.64,1068,6.9,13.7,10.8,1.0307,80.8,6.88,1.3,0.11,6.357,0.52,0.0496,0.5487,0.0428,0.432
"28702096","10","35","1","0","1","86975",7.38,11.47,18.54,58.2,50.7,15.593,32.44,1073,7,13.5,7.5,0.6707,85.2,6.29,0.9,0.06,5.957,0.42,0.0396,0.4487,0.0328,0.432
"28702102","10","35","1","1797_1","1","86977",9.21,11.22,18.44,55.1,49.1,15.793,33.84,1268,6.9,12.8,10.8,1.1007,80.4,7.4,1.7,0.16,6.257,0.56,0.0696,0.7487,0.0428,0.432
"28702013","10","35","1","0","1","87533",8.03,11.27,18.04,51.9,46.1,15.393,34.94,1365,6.6,13.2,10,0.9107,83.1,6.67,1.6,0.13,4.457,0.34,0.0396,0.3487,0.0628,0.732
"28702017","10","35","1","0","1","87535",9.62,11.49,18.64,53.1,46.2,15.593,35.34,1408,6.7,12.8,12.5,1.3107,82.3,7.91,1.2,0.12,3.057,0.27,0.0496,0.4487,0.0828,0.832
"28702015","10","35","1","1796_1","1","87535",8.05,11.1,17.84,52.3,47.1,15.393,34.24,1581,6.5,13.1,12.6,1.1307,81.9,6.6,1.2,0.09,3.657,0.27,0.0496,0.5487,0.0428,0.532
"28702019","10","35","1","0","1","87535",8.41,11.28,18.04,53.2,47.1,15.293,34.14,1428,6.6,13.1,14.1,1.3007,80,6.72,1.6,0.14,3.457,0.27,0.0396,0.3487,0.0628,0.732
"28702035","10","35","1","1796_1","1","87537",9.15,11.67,19.04,56.6,48.5,15.693,34.04,1127,6.6,12.5,11.4,1.1507,80.5,7.37,1,0.09,6.557,0.57,0.0496,0.4487,0.0428,0.432
"42052956","10","35","0","0","1","87720",7.48,10.54,17.84,51.1,48.5,16.093,34.94,1124,6.6,13.4,12.2,1.0207,83.9,6.27,0.9,0.07,1.857,0.12,0.0796,1.0487,0.0428,0.532
"28702151","10","35","1","1798_1","1","88001",9.31,11.27,18.14,54.9,48.7,15.393,33.34,1395,6.3,12.9,15.2,1.5307,76.8,7.15,2.2,0.2,4.357,0.38,0.0696,0.7487,0.1028,1.132
"28702153","10","35","1","0","1","88003",7.97,11.79,19.04,57,48.3,15.593,33.94,1375,6.1,12.7,10.2,0.9307,84.3,6.72,1.8,0.14,2.457,0.18,0.0596,0.6487,0.0628,0.832
"28702155","10","35","1","1798_1","1","88004",9.85,10.61,17.24,52.1,49.1,15.493,33.34,892,6.6,14.6,13.1,1.4007,79,7.78,1.6,0.15,5.057,0.47,0.0696,0.7487,0.0828,0.832
"28702157","10","35","1","0","1","88004",9.63,11.31,18.54,56.1,49.6,15.693,33.34,1257,6.6,13.9,8.5,0.9207,81.6,7.85,1.9,0.19,7.057,0.65,0.0696,0.6487,0.0628,0.732
"28702167","10","35","1","1798_1","1","88007",5,10.62,17.54,51.5,48.5,15.793,34.24,1428,6.5,12.6,22.3,1.2207,67.9,3.4,1.7,0.08,7.757,0.37,0.0196,0.2487,0.0228,0.432
"28702179","10","35","1","0","1","88011",9.75,11.63,18.94,57,49,15.693,33.74,1304,6.4,12.5,10.5,1.1307,81.9,7.99,1.9,0.19,4.657,0.43,0.0696,0.6487,0.0728,0.732
"28702187","10","35","1","1798_1","1","88012",7.24,11.4,18.24,52.2,45.8,15.293,35.04,1272,6.3,13.1,11.6,0.9507,83.2,6.02,1.1,0.08,3.457,0.23,0.0496,0.5487,0.0328,0.532
"28702189","10","35","1","0","1","88012",8.14,10.8,17.44,50.6,46.8,15.393,34.64,1438,6.6,12.6,10.1,0.9307,83.7,6.81,1.4,0.11,3.757,0.28,0.0396,0.3487,0.0928,1.032
"42095821","10","35","0","0","1","88212",8.27,10.38,17.34,53.6,51.6,15.893,32.64,996,6.2,13.2,11.9,1.0907,81.1,6.71,1.5,0.12,4.457,0.34,0.0696,0.8487,0.0528,0.632
"42095829","10","35","1","0","1","88212",7.92,10.96,17.74,54.7,49.9,15.493,32.84,1132,5.2,12.3,12.4,1.0907,82,6.49,1.5,0.12,3.757,0.27,0.0296,0.3487,0.0328,0.432
"42095823","10","35","0","0","1","88212",7.96,10.69,17.54,53.5,50,15.693,33.04,1219,6.1,12.2,13.9,1.2207,81.4,6.48,1.1,0.09,2.957,0.22,0.0396,0.3487,0.0428,0.532
"42095831","10","35","1","0","1","88212",8.59,11.55,18.34,60.9,52.7,15.293,30.84,1191,6.1,12.1,11.1,1.0607,80.5,6.91,1.3,0.11,6.557,0.54,0.0496,0.5487,0.0328,0.432
"42095854","10","35","0","0","1","88517",5.51,10.63,17.34,52.8,49.7,15.593,33.14,1280,6.4,12.5,11.8,0.7607,86.1,4.74,0.7,0.04,0.957,0.04,0.0196,0.2487,0.0228,0.432
"42095856","10","35","1","0","1","88517",6.44,11.44,17.84,57.6,50.3,14.993,31.44,1133,6.2,12.4,10.6,0.7907,81.3,5.24,1.5,0.1,6.157,0.38,0.0296,0.3487,0.0228,0.332
"42095860","10","35","0","0","1","88520",7.71,10.88,17.84,54.8,50.4,15.693,32.94,1146,6.4,12.8,14,1.1907,79.3,6.12,1,0.08,5.057,0.37,0.0396,0.4487,0.0328,0.432
"42095866","10","35","1","0","1","88520",6.78,10.96,17.84,56,51.1,15.493,32.24,1215,6.3,12.6,13.2,1.0107,79.9,5.42,2,0.14,4.357,0.28,0.0296,0.4487,0.0328,0.432
"42095883","10","35","0","0","1","89294",7.72,10.7,17.54,54.2,50.6,15.693,32.64,1213,7,13,10,0.8807,84.4,6.52,1.2,0.09,3.957,0.29,0.0296,0.3487,0.0328,0.432
"42095885","10","35","0","0","1","89294",5.45,10.27,16.94,52.6,51.3,15.693,32.34,1236,7.1,13.1,13.5,0.8507,81,4.41,1.7,0.09,3.457,0.17,0.0296,0.3487,0.0228,0.332
"42095895","10","35","1","0","1","89294",4.73,10.55,17.24,55.3,52.5,15.593,31.54,1242,7.1,13.4,16.2,0.8807,79.4,3.76,1.4,0.07,2.257,0.1,0.0296,0.4487,0.0228,0.532
"42095887","10","35","0","0","1","89294",6.3,10.28,16.94,53,51.5,15.693,32.14,1193,7.1,12.9,14.7,1.0407,80.2,5.05,1.3,0.08,3.457,0.2,0.0296,0.3487,0.0328,0.432
"42095897","10","35","1","0","1","89294",8.2,10.61,17.24,55.2,52,15.493,31.54,1359,7,12.5,11.1,1.0207,83.5,6.85,1.5,0.13,3.157,0.24,0.0396,0.4487,0.0428,0.532
"42095899","10","35","1","0","1","89294",7.4,10.57,16.94,53.6,50.7,15.293,31.94,1359,6.9,12.9,13.1,1.0807,82.1,6.07,1.5,0.11,2.757,0.18,0.0396,0.4487,0.0328,0.532
"28702222","10","35","1","727_1","1","89678",8.36,11.2,17.64,55.4,49.4,15.093,32.14,1429,5.9,12.2,11.2,1.0507,83,6.94,1.4,0.12,3.457,0.27,0.0396,0.4487,0.0728,0.832
"28702224","10","35","0","0","1","89679",7.53,11.05,17.84,55.8,50.5,15.493,32.44,1303,6,12.3,11.2,0.9607,82.3,6.2,1.7,0.13,4.057,0.29,0.0396,0.5487,0.0328,0.532
"28702230","10","35","1","0","1","89679",8.62,10.71,16.94,53.5,49.9,14.993,31.84,1345,5.8,12.7,14.5,1.3607,77.3,6.67,2.2,0.19,5.357,0.44,0.0396,0.4487,0.0428,0.432
"28702248","10","35","1","0","1","89680",7.08,10.89,17.24,54.7,50.2,15.093,31.84,1317,5.8,12.4,8.9,0.7407,85,6.02,1.9,0.13,3.557,0.24,0.0396,0.4487,0.0428,0.532
"28702268","10","35","0","727_1","1","89682",7.72,11.06,18.04,56.2,50.8,15.593,32.44,1031,6.3,12,9.4,0.8407,85,6.56,1.9,0.15,2.257,0.15,0.0696,0.8487,0.0628,0.832
"28702286","10","35","0","727_1","1","89688",7.23,10.23,16.84,51.3,50.2,15.593,32.84,1211,6.6,12.3,8.6,0.7307,85.4,6.18,1.6,0.11,3.557,0.24,0.0396,0.5487,0.0528,0.732
"28702315","10","35","1","0","1","89929",7.84,11.41,18.14,59.9,52.5,15.193,30.84,1458,6.2,12.4,11.2,0.9907,83.3,6.53,1.7,0.13,3.257,0.23,0.0496,0.5487,0.0328,0.432
"28702329","10","35","1","1550_1","1","89930",5.77,10.62,17.04,54.1,50.9,15.293,31.74,1329,5.8,12.5,13.8,0.9107,79.1,4.56,1.9,0.11,4.557,0.25,0.0396,0.5487,0.0328,0.532
"28702343","10","35","1","1550_1","1","89937",7.33,10.6,17.04,54,51,15.393,31.94,1215,6.1,12.3,10.4,0.8707,82.3,6.04,2.1,0.15,4.157,0.28,0.0496,0.6487,0.0628,0.832
"28702349","10","35","1","0","1","89938",7.83,11.65,18.74,61.8,53.1,15.493,31.04,1193,6,12.3,11.6,1.0107,80.9,6.34,1.3,0.11,5.157,0.39,0.0596,0.7487,0.0528,0.632
"28702307","10","35","1","0","1","89927",7.96,11.1,17.84,57.3,51.6,15.393,31.64,1357,6.3,12.1,8.3,0.7707,82.9,6.6,1.8,0.14,6.357,0.49,0.0496,0.5487,0.0428,0.532
"28702345","10","35","1","1550_1","1","89938",6.24,11.29,18.24,60.7,53.8,15.493,30.64,1040,6,12.4,12.5,0.8907,78,4.87,2.7,0.17,6.057,0.36,0.0396,0.5487,0.0328,0.532
"28702347","10","35","1","1550_1","1","89938",8.07,10.89,17.34,55.5,50.9,15.293,31.74,1188,5.9,13,11.4,1.0307,81.9,6.61,1.7,0.13,4.457,0.34,0.0396,0.4487,0.0428,0.432
"28702351","10","35","1","0","1","89939",8.09,11.22,17.64,57.1,50.9,15.093,31.44,1405,6,12.6,12.6,1.1307,81.3,6.58,1.8,0.14,3.357,0.25,0.0596,0.7487,0.0428,0.532
"42095914","10","35","0","0","1","90268",6.36,11.02,17.84,57,51.8,15.493,31.74,1257,6.6,12.8,12.9,0.9307,82.7,5.26,1.1,0.07,2.557,0.15,0.0396,0.5487,0.0328,0.532
"42095915","10","35","0","0","1","90268",7.39,10.88,17.74,56.2,51.6,15.593,31.94,1114,6.4,13,16.1,1.3007,77.2,5.7,1.6,0.12,3.757,0.26,0.0696,0.8487,0.0628,0.832
"42095916","10","35","0","0","1","90268",6.77,10.57,17.54,54.9,51.9,15.793,32.24,1190,6.4,12.7,14.7,1.1007,79.4,5.38,1,0.07,4.157,0.27,0.0496,0.5487,0.0228,0.432
"42095920","10","35","1","0","1","90268",7.5,11.32,18.04,58.4,51.6,15.193,31.34,1352,6.2,12.3,11.3,0.9607,83.4,6.26,1.5,0.11,3.057,0.21,0.0496,0.5487,0.0328,0.432
"42095921","10","35","1","0","1","90268",7.96,10.96,17.94,57.4,52.4,15.693,31.74,1718,5.8,12,9.6,0.8707,87.9,7,0.6,0.05,1.157,0.07,0.0396,0.4487,0.0528,0.632
"42306533","10","35","0","0","1","91151",6.63,10.79,17.94,57.1,52.9,15.893,31.84,1097,6.2,12.3,10.7,0.8207,82,5.44,1.5,0.1,5.057,0.32,0.0396,0.4487,0.0328,0.532
"42306535","10","35","0","0","1","91151",6.57,10.22,17.44,57,55.8,16.293,31.14,864,6.5,12.8,7.8,0.6207,83.9,5.51,1.7,0.11,5.157,0.32,0.0596,0.8487,0.0528,0.832
"42306539","10","35","1","0","1","91151",8.78,11.41,18.34,58.5,51.3,15.393,31.84,1246,5.9,12.4,15.4,1.4607,76.6,6.72,1.5,0.13,5.557,0.47,0.0596,0.5487,0.0628,0.732
"42306541","10","35","1","0","1","91151",7.98,11.9,18.84,61.8,51.9,15.293,31.24,1270,6.1,12.4,11.5,1.0307,83.3,6.65,1.5,0.12,2.857,0.21,0.0496,0.5487,0.0428,0.632
"28702390","10","35","1","1799_1","1","91624",8.12,11.25,17.84,57.7,51.3,15.193,31.34,1344,6,13.1,10.6,0.9707,84.9,6.89,1.4,0.11,2.057,0.15,0.0496,0.5487,0.0728,0.932
"28702404","10","35","1","1799_1","1","91628",7.8,11.03,17.44,56.8,51.5,15.193,31.24,1636,6.3,12.6,10.8,0.9507,84.7,6.61,1.3,0.1,1.457,0.1,0.0696,0.8487,0.1028,1.332
"28702406","10","35","1","0","1","91628",7.6,11.23,17.94,58.8,52.3,15.293,31.04,1369,5.7,12.4,11.1,0.9507,83.7,6.36,1.4,0.11,2.757,0.19,0.0396,0.4487,0.0728,0.932
"28702414","10","35","1","0","1","91632",9.22,11.42,17.74,58.1,50.9,14.893,31.14,1242,6,12.4,9.7,1.0107,84.7,7.81,0.9,0.08,3.957,0.34,0.0396,0.4487,0.0528,0.632
"28702416","10","35","1","1799_1","1","91632",8.44,11.56,18.34,59.3,51.3,15.193,31.44,1313,6.1,12.3,9.6,0.9207,83.3,7.03,1.2,0.11,5.157,0.42,0.0396,0.3487,0.0528,0.632
"28702424","10","35","1","0","1","91634",9.61,10.94,17.44,56.1,51.3,15.293,31.54,1504,5.9,12.3,9.3,1.0007,85.2,8.19,1.1,0.11,3.257,0.29,0.0496,0.4487,0.0928,0.932
"28702426","10","35","1","1799_1","1","91634",9.6,11.22,17.84,58.9,52.5,15.193,30.84,1370,6.1,12.2,10.2,1.0907,83.7,8.03,1.7,0.17,3.057,0.26,0.0596,0.6487,0.1028,1.132
"48500459","10","35","1","0","1","91983",9.56,10.9,17.94,53.9,49.5,15.693,33.54,1245,6.1,12.4,10.2,1.0807,85,8.13,1.3,0.12,2.957,0.26,0.0396,0.4487,0.0528,0.532
"48500467","10","35","0","0","1","91984",6.95,10.67,17.74,52.5,49.2,15.893,33.94,1215,6.1,12.5,14.3,1.1107,80.2,5.57,1.7,0.12,2.957,0.19,0.0496,0.6487,0.0328,0.532
"48500469","10","35","0","0","1","91984",5.08,10.81,17.44,55,50.8,15.493,32.14,917,6.3,12.8,13.6,0.8007,82.3,4.18,0.7,0.04,2.357,0.11,0.0396,0.6487,0.0328,0.632
"48500461","10","35","1","0","1","91983",8.61,10.76,17.44,53.3,49.5,15.493,33.04,1485,6.2,12.4,14.2,1.3407,78,6.72,1.1,0.1,5.957,0.49,0.0596,0.6487,0.0328,0.432
"48500471","10","35","0","0","1","91984",7.19,10.71,17.74,54.4,50.8,15.793,32.94,1110,6.2,12.7,10.2,0.8407,84.2,6.06,1.4,0.1,3.457,0.23,0.0496,0.6487,0.0328,0.532
"41969906","10","35","1","0","1","92420",7.92,10.95,17.14,52.2,47.7,14.893,32.94,1315,7.4,12.9,10,0.9007,85,6.73,1.3,0.1,3.057,0.22,0.0396,0.4487,0.0528,0.632
"41969916","10","35","1","0","1","92423",8.45,10.49,17.44,52.2,49.7,15.793,33.54,1305,7.4,13,10.7,1.0107,83.6,7.06,1.6,0.13,3.457,0.27,0.0496,0.4487,0.0428,0.532
"41969918","10","35","1","3157_1","1","92424",7.43,10.49,17.54,52.6,50.1,15.993,33.64,1242,7.3,12.7,14.8,1.2107,77.8,5.78,1.8,0.13,3.657,0.26,0.0896,1.1487,0.0828,1.032
"41969922","10","35","1","3157_1","1","92424",7.19,10.91,17.84,53,48.6,15.593,33.84,1200,6.8,13.1,8.4,0.7107,85.1,6.12,1.3,0.09,4.457,0.3,0.0496,0.5487,0.0428,0.532
"41969920","10","35","1","0","1","92424",6.92,10.83,17.44,52.3,48.2,15.393,33.54,1345,7,12.8,16.6,1.2607,79,5.46,1.3,0.09,2.457,0.15,0.0396,0.4487,0.0328,0.532
"41969928","10","35","1","0","1","92425",6.8,10.6,17.44,51.1,48.2,15.693,34.34,1362,7.4,12.7,9.1,0.7307,85.8,5.84,1.5,0.1,2.757,0.17,0.0396,0.5487,0.0428,0.632
"41969930","10","35","1","3157_1","1","92425",7.97,10.87,17.44,52.5,48.3,15.293,33.44,1270,7.4,13,10.2,0.9307,86.3,6.88,1.2,0.09,1.357,0.09,0.0496,0.5487,0.0528,0.632
"41969932","10","35","1","3157_1","1","92425",7.13,10.89,17.44,53.3,49,15.293,32.94,1450,7.2,12.9,11.6,0.9307,82.6,5.89,1.7,0.12,3.157,0.21,0.0496,0.5487,0.0528,0.732
"48500492","10","35","0","0","1","92491",6.45,10.41,17.64,51.6,49.5,16.193,34.44,857,6.7,13,12,0.8807,79.2,5.11,1.6,0.1,6.057,0.38,0.0696,0.9487,0.0328,0.432
